lyric,class
"I come from the gutter, I spent me a hundred on Chevys",0
But they don't have a shot when I compare them to you,1
"Yeah, I can't get enough of your love",1
"The first n**** play, I'ma body a n**** (Ha)",0
"Fast train to Inverurie, I used to go up",0
Slept 'til noon,1
And every n**** 'round me willing 'fore to die for you,0
I won't cry at your feet now,1
"Brodie gon' get that, get that",0
I don't follow rules and they don't like that,0
"f*** on the camera, we can call it even",0
"Thursday, Friday, we gon' party",1
Why don't you take what you want from me?,1
And I keep a chop like sensei (Uh),0
"Back it up, back it up (back it up, back it up)",0
And you can bring your girls if you want to,1
Thinkin' it's time to go get 'em,0
"First you wanna go to the left, then you wanna turn right",1
Triple S got that extra grip (Grip),0
You running from yourself and you buying product again,0
Not somethin' to conquer,0
"Come on, let's turn this all around",1
I can't let it go,0
"Ain't gotta worry 'cause it's all right, it's all right",1
"Came through drippin' (drip, drip)",0
"Brain dead, eye drops",0
"Floating, I'm floating, floating, floating, floating, floating",0
"Me, we started at 12:30 and f***ing 'til three",0
"Ain't no job, I'm selling gas like I'm Jiffy Lube",0
"Ho stirring up the pot, jambalaya",0
"While you break it, roll it, light it, use that fire, ignite it",0
"Sheck Wes, I ain't a mothaf***in' joke (Haha, hahahahaha)",0
You won't be lonely tonight,1
Double my price again (Double my price),0
But when you love someone,1
"And f*** on the group, she a groupie (Yeah)",0
            Lyrics for this song have yet to be released. Please check back once the song has been released.,0
"I'm not going home with you boy, no",1
Let me pick the things I'm funding from an app on my screen,0
"I can crack a b****, and I ain't got no f***in' crack",0
And when she passed me by,1
"Take it off, yeah, going off, yeah",0
"(Oh, oh, oh, oh)",1
"Wanna believe, wanna believe",1
I gotta trust my lonely,1
"Hunnid bands inside my shorts, DeChino the s***, ayy",0
"I get lost in her eyes, like dust from the skies",0
"Hell nah, been waitin' too long (I've been waitin')",1
No' vamo' pa' tu casa,0
"Oh, this what we doin'? Alright",0
"I'm through, I'm through, I'm through",0
Baby gave me mad face without the attitude (No attitude),0
"Hunnid thousand for the cheapest ring on a n**** finger, lil' b****, woo",0
"I can not the see the haters, I got maced",0
"Yo quiero, yo quiero dinero, ay",1
"Ride it, we're all alone",1
"Wanna know what it is, make the boys want more",1
And I'm back to my ways 'cause I'm heartless,1
Choose to believe me or you won't,1
"Real ones ride for me, no cruise ship",0
And everyone's spread,1
I don't take advice from people less successful than me,0
"I said, ""Go with you where?"" She said, ""Out""",0
Grab a AK for the wrist,0
"Pipe that s*** up, TNT",0
"Yeah, I got some n****s that still owe me an apology",0
"I only say that 'cause you're not around, not around",0
"Got us in the crib, talkin' 'bout what n****s coulda been, shoulda been",0
But I need you to...,0
"Yeah, yeah, yeah, yeah, yeah, we paid",0
"Drugs in the household, never had a hand to hold",0
When I f*** her from the front it sound like that b**** dyin' (On God),0
And I don't like the way this feels,1
Far away from the wreck we made,1
"Called you up this time, I thought I'd be your shelter",1
"I don't trust no one, I can't put my gun down",0
"Are you gonna be the one? (One, one, one, one)",1
"I gotta fly, I need a jet, s***",0
And tell them you hate me and dated me just for laughs,1
"Lately, I been on the road (Yeah), show after show",0
"I just ran from 12 in Audi R8, this ain't stock s*** (Skrrt)",0
I'll be right there for you,1
"41. $uicideBoy$, STOP STARING AT THE SHADOWS",1
And you could bring down my level of concern,1
Wifi lit (wifi lit),0
"Yeah, my diamonds be VV's (VV's)",0
"Ninety thousand, that's a light band, (Yeah) yeah (Ninety thousand, that's a light)",0
"Peep them teeth, no dentures please",0
Teach me to be like you so I can not give a f***,0
So you can hear her hit the high note,0
"Oh, and I'm missing the sound of your heart beating",1
"Shawty wanna be famous, don't it? (Who?)",0
Stray bullet hit a young boy with a snotty nose,0
"Cause I'ma tell you straight up, I been messin' around",1
"Pop up, guess who, b****?",0
"Been thinkin' it over, but I'm through",1
"I can't lose you, babe (I can't lose you, babe)",1
I ain't miss the Jordans for this pair of Diors,0
They said that they hated the awake me,0
All these p**** n****s so bad mind,0
"Oh, oh, oh, what do you mean?",1
"We ain't going in, get that s*** from the window",0
I cannot love on no b**** when she f***ing the clique,0
"Sweet, but I get rough, just what I wanna be",1
I'm an apostrophe,1
No te lo voy a negar,1
"When it rains, it pours",0
"Bury my motherf***in' Chase Bank, time to bounce (Bounce)",0
"I wake up, rinse my mouth with f***in' codeine (Codeine)",0
"These brand new, don't step on my Balenci's",0
"Back, back, back, back, back, juicy",1
I can't write one song that's not about you,1
"On his breath's Jack, he's a sex addict",0
"(Down, down, down) Down below, now I know that the medicine be on call, yeah (Gimme, gimme, gimme, gimme, gimme, gimme)",0
Always had a fear of being typical,1
"Ooh (Straight up) f***in' right, h*",1
Don't make me go and buy a b**** a lil' Prius,0
"f*** the Franck Mueller, I jump out the jeweler again",0
"Throw up gang signs, Naruto (Uh)",0
"That's on me, baby, yeah, yeah that's on me, baby, yeah",0
"Make her spend that money, dummy, go retarded for me (Pop it)",0
"A bad b****, Puerto Rican (Puerto Rican, what)",0
Excuse me if I seem a little unimpressed with this,1
"But you're the one that I want, and if that's really so wrong",1
(How deep is your love?),1
Ride for your brother,0
"Make that lil' b**** disappear, got VVS's in my ear",0
"I make it rain, that Woo weather (Grrt, baow)",0
"Baby, you're not dancing on your own",1
And I know that I'm actin' foolish,0
From the day that I met you (Day I met you),1
"Tellin' everybody, yeah, that we was barely speakin'",0
"n****, that's now",0
I will always remember,1
Before Tity Boi had turned to 2 Chainz,0
"I bought her a plane ticket, out of state",0
I take this magnetic force of a man to be my lover,1
Cruise the city in a bulletproof Cadillac (Skrrt),0
"Low key, low key, (Hey) you should really get to know me (Really get to know me)",1
Woke up feelin' like a new James Dean,1
Thousand nights on that corner eatin' egg rolls,0
Don't think I fit in at this party,1
And it's called black magic,1
"So when I leave here on this earth, did I take more than I gave?",0
"Oh, he's so handsome, what's his name? Yeah (I said I like it)",0
"Real, real a** b****, give a f*** 'bout a n****",0
"Now Cole, he important",0
"Lookin' for a dunk, like a athlete (Uh, woo)",0
"It make no sense, yeah, it make no sense, uh",0
I'm lookin' and I like what I'm seein',1
"Factory on my watch, make your aftermarket say, ""Please tuck me""",0
"I wonder when I love me is enough (Yeah, yeah, yeah)",1
Who the f*** I was; now Ninja try to duck my slugs,0
"Can we ride, yeah",0
"Yeah, I can't get enough",1
Who keep blessin' us? Ugh,0
I miss the words we used to say,1
She was young and all she had was the city,1
"Hardly get thirsty, got water like a lake",0
"Our own room, no bias here",1
Welcome to the booty shakin' capital,1
Knew I was falling when I looked inside your eyes,1
"I started from the bottom, you could see the way I stunt",0
Their actions out of character even when they rehearse,0
"Run that back, Turbo",0
"Godd***, man, everybody got Bugattis",1
"Got time, but you got goals",1
"No casket, drop dead fresh and I got dead guys",0
"Let 'em go, all the one's tryna get in the door (Oh)",1
"Put it on my neck, now my neck is a nuisance (Yeah)",0
"I wish it could be me, but I won't make it out this bed",0
"Yeah, we are never, ever going home tonight",1
"Cartier, Cardi B brain on Offset (Who's Cardi?)",0
Got a whole lot of options 'cause you know a b**** poppin' (Hey),0
"Mike Amiri, Mike Amiri",0
And always underrated,1
Spend three racks on a new chain (Huh?),0
Must be something in the water or that I'm my mother's daughter,1
"Way ahead of yourself, uh, you done outdid yourself (Oh yeah)",0
I like hot sauce on my chicken (On God),0
"Know a n**** that'll shoot you for a 'Tander ('Tander, grrt)",0
You a type of b**** that will never get a reply,0
Lotta bands on the table,0
No need to go nowhere fast,1
I'm still feeling the same,1
"You think I'm cryin' on my own, well I ain't",1
"24/7, what's the 411?",0
So escapin' me is impossible,0
That I shoot across the...,1
You left your burn (In my heart),1
I should've put you somewhere where no one could find you (Ayy),0
Bringin' out the foreign out to play,1
"Truly free, love it, baby, I'm talking no inflation",1
"Best believe I'm comin' through with a new ting (Ayy, ayy)",1
I never had a place to call my own,0
"But I can't make a h* a housewife (Oh, no)",0
I ain't wanna cap or lie (No),0
You do it (Ayy),0
"This brand new Draco that I got, it hit and blow out your heart",0
"If the world was ending, you'd come over, right?",1
And I don't care if she take all of mine,0
"I'm an open door, I ain't have to let her in",0
"I'm a bad b****, she's a savage, no comparison here",0
It's no way you could buy h*,0
'Cause I need your green light,1
"With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)",0
"My, my, how the seasons go by",1
Make a b**** percolate,0
Gotta be wrong before it's right,1
"I wanna kick it with you all night, all night",1
"Throw that to the side, yeah",0
"You're second hand smoke, second hand smoke",1
"You need some, Little Caesar's pizza, I be hot and ready (Woo)",0
Spilling all our secrets,0
"The 'Rari sit in park (Park), on Addy on Mars (Mars)",0
"And I got enough bras, y'all ain't gotta support me",0
"Ooh, I should be runnin'",1
"It's  solo, solo everybody",1
You cannot trap with no pistol (No pistol),0
Like if Tyler Perry made a movie for BET,0
I think I'm in love now (Skate),0
Stretch my hands to You,0
"I ain't got no free time, all my s*** expensive",0
"Hey yeah, hey yeah, hey yeah",1
Don't f*** with my freedom,1
So don't you tell me that you just don't get it,1
Lick your lips and swing your hips,1
Mansion with the acres with the horses and the cattle,0
"Hands on your body, I don't wanna waste no time",1
"Fack, fack on everyone",0
"Jason Derulo, Want To Want Me",1
"If you ain't got a foreign, then she laugh at you, uh",0
"I'ma be forever scheming, woke up, I thought I was dreaming",0
"You chase a nut like a squirrel, yeah",0
You can keep all the memories,1
A little bit psycho,1
"S Cla**, G Cla**, lotta class (Sss, sss)",0
"My old flex is my new flex now and we're workin' on it, yeah",1
"(Sauce it up, hey, sauce it up, hey)",0
'Cause you made me believe you're mine,1
"I get so high that I might throw up (Ayy, ayy)",0
Flyin' private jet with the rod (Rod),0
"Pick up, pick up, pick up",0
"Yeah, you can probably bet this",1
Them n****s tryna blow and ain't need me for that,0
"My name is no, my sign is no, my number is no, uh",1
That can only mean one thing,1
50 feet get you touched at your front door,1
"Cause I'm ready to go, oh, oh, oh",1
I want that can't sleep love (Gimme that can't sleep),1
Baby just be still; let your body talk to me (oh woah),1
"Ooh, gotta cure my curiosity",1
"This is not a, this is not a swan, swan song",1
"Roll up, roll up; hold up, hold up; po' up, po' up",1
Maybe I can die a happy man,1
I guess I'm pretty glad that you're alone,1
"Put it down, pull your hair, kiss your neck",1
"n****s runnin' out they mouth, but they never pop out",0
I like to play with her kitten,0
"I can't praise, I'll be cordial",1
"But I'm an honest n****, I can only lie when it comes to snitchin'",0
Now a n**** can't answer calls 'cause I'm ballin',0
"I've been lonely, mmh, ah, yeah",1
"Leave his texts on read, leave his balls on blue",0
"Wish we could start over, but we can't",1
Say you'll never ever leave from beside me,0
"I'm sorry, yeah",1
"Hey yeah, hey yeah",1
"Beautiful, beautiful, beautiful, beautiful angel",1
She like the way that I dance,0
"Baby girl, what you doin', where your mans? (Uh, where your man?)",0
"Believe it or not, God loves us all",1
"Cost me more than money and I'm payin' the price, yeah",0
"Hop in with me, take a ride, ride, ride",1
"Baby, let it go and you gon' miss it",0
A Killer Queen like a young Jane Fonda,1
"You told me keep it real, but you don't practice what you preachin'",0
This s*** got me in my feelings,0
Couple of things that you need to know,1
Just let me adore you,1
I'm counting them lovers,0
I'm just better off without them cuffs,1
"Money come and go, I'ma keep you forever (Forever)",0
"Plus I know it's a, it's a beautiful feeling",0
"I'm getting mine, I'm one of the flyest, got no stylist",0
You gon' gain the whole world,0
"I'm pickin' it up, pickin' it up",1
I'm what Supreme didn't become,0
And it keeps cursing my name,1
"I don't give a f***, chucking my deuces up",1
Don't tell me what to do,1
"b****, I'm from Zoo York, Zoo York",0
Repeat it over and over until it's in my brain,0
"We was tweakin' off them Percs, I popped my last one with you",0
"Better watch for 12 'round my town, you might get killed (Better watch for 12)",0
Why am I so in love?,0
Watermelon sugar high,1
"b****, you pressed, you can flex",0
"Wasted, get her off my mind when I'm wasted",0
"(Go back to you, go back to you)",1
"'42, I'm steady sippin'",0
'Cause we were good kids,1
"It ain't my fault (Nope, nope, nope)",1
"Stay with me, my blood, you don't need to run",1
"They know I'm the bomb, they ticking me off",0
"I give you everything you need, make you weak in your knees",1
"Hands up high, hands on, hands on",0
I'mma go where they all couldn't go (Yeah),1
Only love can bring us home,1
What's the matter with me?,1
"Me and Trav' in a coupe (Scoop), paparazzi, we switch the route (Yeah)",0
"My kids gotta have money, not just me (Facts)",0
"With no shame, flips that a** like heads or tails (Tails)",0
"Have mercy on me, have mercy on my soul",0
Baby gonna take the charge and take the fall for me (For me),0
I hear the thunder comin' down,1
"Uzi, they used to make fun of you (dress it up)",0
The smell of your perfume still stuck in the air,1
How many problems you got? (A lot),0
"Ooh, maybe we could do it tonight",1
"I'm pickin' out a mate, she get replaced",0
I am Nicki Yamaguchi,0
"This the real thing, can you feel the force yet",1
New man on the Minnesota Vikings (Minnesota Vikings),0
"They say I went commercial, I ain't know it",0
"Stripper walk by, I'm like ""Godd***""",0
"'Cause I want ya, and I need ya",0
I'm buyin' the buildin' of every door that closed on me,0
"Told my b**** ""I love you"", that was just a typo (Yeah, yeah)",0
"You don't know 'bout nothin' (Ayy, ayy, ayy, ayy)",0
"You know where the bag at, tell me where it is",0
"Keep it silent, there ain't nothin' we can't do",0
"I'm still with the s***s, I'm a hot n**** (Hot, let's go)",0
"First Rollie flooded out, I ain't see no time, woah",0
Am I missin' somethin' that's more important to find?,0
Wearing Cuban links (ya),1
"n****s provoke, this s*** ain't a joke, man, nobody playin'",0
You're ripped at every edge but you're a masterpiece,1
Under the stars since they throwin' all that shade on us,0
I want it that way,0
I just gotta ventilate (Woah),0
Can't really trust nobody with all this jewelry on you,0
Who do you love? Who do you love? Who do you love? Who?,1
We don't share our whereabouts or the gossip the hood love,0
'Cause I met your b**** on the internet now I'm getting head like a Pillow Pet,0
"She love it when she hear me on the radio, oh",0
And you could bring down my level of concern,1
This the new style with the fresh type of flow,1
"Motorcycle days, b****, Yung Joc",0
She's slipping away (I'm slipping away),1
But when I lean for the kiss,1
"Baby, never mind, never mind",1
That could be a load of s***,1
"Ayy, what kinda whip is that? It came imported (Bat, fool)",0
"Rock star lifestyle might not give up (Hey, woah)",0
"Let me know, let me know, let me know",0
"f***ed that lil' bih, made a viddie",0
"I'm a doctor, but I'm runnin' out of patience (Out of patience)",0
"Gettin' rich I'm really lit, but I (I)",0
Those good old days,0
"And I, I love myself way more than I love you",0
That was this summer when nobody helped,0
"Popped that seal (Pop it), close that deal (Close it)",0
"Cardi got rich, they upset, yeah (21)",0
Que la shorty tiene sed,1
"f*** the place up, f*** the place up",0
Higher powers taking a hold on me,1
"All of a sudden, you pop on my line",0
Every time you touch me,1
That's how much we have in common (Yeah!),0
So why don't you just meet me in the middle?,1
"They try to take my flow, I take they a** for ransom",0
Cause I'm hollow (Yeah),1
Barely came up out the mud like quicksand (barely),0
"Cause all I can think about is coming over, coming over",1
"Young teachers, student doctors (Yeah)",1
Nine out of ten of these n****s naive,0
"We wanted everything, wanted everything",1
And I got this sewed up,1
And I don't know how to recapture that time and that era,0
Ready to snap any moment I'm,0
DON SNOW AKA JONN SAVANNAH,0
"I do my own stunts, Jackie Chan with it",0
"If man get beaky, ring ring, call up GiGi, do him up neatly",0
Ten bands for my Chanel carpet (Alright),0
Tell me I'm too crazy,1
"In the kitchen, wrist twistin' like it's stir fry (Whip it)",0
That's what he's gonna have to do to me,0
"I might change my old ways for you, baby",0
I done plenty sinnin' in the past,0
I don't wanna be the last man standing,1
"I'm beggin', beggin', beggin', beggin', beggin' you",1
Then something told me relax,0
"Don't f*** with me, don't f*** with me (Don't)",0
"Got her trapping out the the Fiat, she be back and forth, yeah",0
"Shoot the maggots, shoot the maggots with the pump",0
"Money like a shower, that's my rain dance",0
SPORTFREUNDE STILLER,0
Know I got the sauce like a f***in' recipe (Ohh),1
"We up on the other side, n****s actin' like we tied",0
Don't wanna know,1
"So she gon' call her friends, now that's a plan",1
"Oh s***, you born in the Hamptons",1
"Holy son, I was the chosen one",0
"On both sides, that was bad for 'em",1
"a** black, but the eyes looking Asian",1
"I don't talk s***, b****, I do it (Huh)",0
I thought you were the one who would change my life,1
"I hustle, I flex, the world is mine",0
I catch a h* right by her toe (no),0
This all or nothing way of loving got me sleeping without you,1
"Barbie Dreamhouse, pink and purple marble walls",0
On my enemies I wouldn't wish who I was,1
"No, it's not about luck",1
"But d***, why I feel faker than Snow on tha Bluff?",0
"We ain't with the chattin', you lil' n****s cappin'",0
Let's pray we can put this behind us,0
Kill 'em with kindness,1
"All of my friends know what's happened, you're a bad thing (Ah)",1
What do you mean? (Be more straight forward),1
"You're a supermodel, shaped just like a bottle",1
"I'm caught between your love and a hard place, oh",1
"We goin' wild, we on the loose",0
"I got two twin Glocks, turn you to a dancer",0
"Oh, here we go, please let me know",0
That p**** to die for,0
'Cause you know this thing here,1
My heart is a ghost town,1
"I can't wait for the show, oh, oh",1
And there's nothing I can say at all,1
"I just sit back and when he done, I be like, ""Yo, how'd it taste?""",0
Better grab your balloons and invite your friends,0
You're stuck in my head and I can't get you out of it,1
Come and climb in my bed,1
"It's crazy, worry about yourself n****, make a move",0
I've got the recipe,1
You do it (Ayy),0
"That's my type, n****, that's my type",0
Before I rode with Gucci in the Mulsanne,0
"No, We ain't ever getting older",1
"You make me come through, I get so close to you",1
Take it any more,1
Now little Jermaine got the same story,0
I don't know a sound,0
"Whippin' up dope, scientist",0
Mass incarc' what it does (Huh),0
"Go get the chop (chop, chop, chop, chop)",0
"Tattoos, suu whoop, Bugatti, new boo",0
He know I ride that d*** 'til I get seasick,0
"Never left the city (come on, man) but she swear she's a yardie (yeah!)",1
"Underneath, the ground is shaking",1
"'Cause I'm alone, you see",1
Why am I so in love?,0
I think you mastered the art of sublime,0
"Baby, it hit so hard, I'm holding on to my chest",1
That's just the way I am,1
"Not on the list, I ain't got no name",1
"My way, oh way, oh way, oh way",1
Whole sixteen round in the fire,0
I don't wanna spend time fighting,1
"Baguettes on your wrist now, can't be actin' timid (Woo)",1
I'm not the n**** for lip (yeah),0
"Oh, you're beautiful, oh, you're beautiful",1
We don't do no rumors (rumors) we don't don't pay no shooters (brrr),0
"Pearls and diamonds, that's excessive",0
"Hold up, n****, please",1
"I hate you, I love you",1
I'm standing with an army,1
So many pretty girls around me and they waking up the rocket,1
"So why, don't we live like we're alive?",1
"Feeling blessed, never stressed",1
And every n**** with me wearing Amiri,0
I turn the news on when I smell death in the air,0
"I need a girl like you, yeah yeah",1
"I'm just a product of the system, a catastrophe",1
Five people dead,0
"Happened in front of my face, what's all of this for?",1
I'm the only one that you need,1
When love and trust are gone,1
"Nah, nah, what's beef?",0
Flex on my ex then I flex on my new b**** (Yeah),0
Inside the world of beautiful people,1
Don't let homie f*** unless his bands up (Rich sex),0
Well I know when you're around 'cause I know the sound,1
We got that love; the crazy kind,0
"In oblivion, yeah, yeah, oblivion, yeah, yeah",0
"No, they don't speak our language",1
"Baby, you're like lightning in a bottle",1
"But you'll never own my soul, no",1
"Hirin' strippers, prostitutes retirin'",0
And any girl like you deserves a gentleman,1
"And that's why we gon' dedicate this toast to you, toast to you (Let's go)",0
"Straight out the jungle (Yeah, yeah, yeah, yeah, yeah)",0
"I said, ""Don't panic, keep the faith, n****, B.I.G.'s b****""",0
'Cause I live down the street,1
"Cardi took your man, you upset, uh",0
"'Head of these n****s by eons, mane",0
"That's my type, n****, that's my type",0
"Please take me dancing, and",1
We break in your home and take the specifics,0
Before I make a move,1
"I been messin' around (I been, I been)",1
These n****s calling a peace treaty,0
All on my page suckin' d***,0
I'm doing this s*** in spectacular fashion (Uh),0
Used to have a girl a day (Girl a day),1
Got an empty cushion on that sofa now,1
I heard she servin' everybody like the soup kitchen,1
"Cry for me, cry for me, you said you'd die for me",0
"We gonna make 'em famous, the beautiful country got stars and bangers (Stars)",0
"Got ""Malone"" on my plates",0
Pulling back out the driveway,1
To the break of day,1
I'm ashamed of all the things that I was doin' for you,0
"Ayy, one bad b**** and she do what I say so (Yeah)",0
The more money make more rain (Rain),0
"It got me burning up, burning up",0
A moment to say I don't owe you a godd*** thing,1
"On the come up, where they run up from the world of many fiends",0
It's time I let you go,1
"Mmm, there's only one way down",1
(Are we in the clear yet? Are we in the clear yet?),1
"No more talk, I don't know what you wanna do with that",1
You wanted me to gon' put my hands on you,1
And it was okay,1
"Actin' all innocent, please",1
".44 Bulldog, make 'em get back (Get back)",0
How the f*** they let Baby go platinum?,0
Cut throat like Pablo (Cut throat) ,0
"In the name, name",1
I gotta pay her to leave her,0
"And the doors goin' up, suicide",1
And every time I feel us sabotaging,1
"I've been counting it up for hours, done cramped my hands (oh)",0
Money just for you (You),0
Due to the money aroma (somebody),0
"Somewhere in the hills, prolly where my b**** stay",0
I made the guys spin that b**** every day like a carnival,0
You say I am held when I am falling short,1
You give me chills and I can't imagine you leaving,1
"Press, press, press, press",0
Second verse for the hustlas (hustlas),1
"Who I was invented by, Dre's Frankenstein",0
How many times did she cry? (A lot),0
"I'm a cool girl, I'm a, I'm a cool girl",1
"Yene fikir, fikir, fikir, fikir",1
Kissing up on fences,1
That b**** brown and choosey (Hey!),0
"Yeah, never a matter of ""could I?"" or ""should I?""",0
You're the best kind of bad something,1
I shot all them p****** the same night (Brrt),0
Trips to wherever feels right,1
"'Cause now that they're gone, all I hear are the words that I needed to say",1
"Hesitation, awkward conversation",1
"For the art of this s***, Andy Warhol and s***",0
In case it is the last time that we might,1
To all the friends I may have hurt,0
"All this drink got me throwed, oh, oh",1
"Spent all night just tryna get closer (I'm lonely, lonely, I)",1
So I never really knew you,1
"But I know that I'm never, ever gonna change",1
It's so cold in your wilderness,1
"""I don't know how you get down with them clowns but I'm a soldier""",0
Getting so gone I'm not blinkin',1
"I've cried for you, baby",1
"All my ladies, listen up",1
Only problems I do are math problems with profit,0
Heart beatin' outta your chest,1
It kills me how your mind can make you feel so worthless,1
"But I love it, but I love it, oh",1
It's lowkey at the night show (Ooh),1
Pardon the visual,0
"f*** you, and you, and you",0
"Ride it, just lose control",1
Louis bandana tied around my chin (d***),0
Had to set the record straight 'cause b****es love to assume,0
And I don't need no explanation,1
I know the sound of your heart,1
Sweet tone like a hummingbird when she asked him,0
A lot of n****s like to play with they life,0
"I try to forget about you, baby",1
"Mmm, don't trip, we don't gotta let him in",0
Nice to meet ya,1
"Reasons to go crazy, got a trillion, for real",0
Gonna spend it like no other,1
"Pull up to the spot, livin' too fast (Yeah)",0
"Man, she so relentless so nothing can stop her",1
"I'ma take it to trial, pray to Lord I beat the case, yeah",0
Everything can happen at the night show,1
That's how you know you f***ed up,1
Like I'm outside of an Ariana Grande concert waiting,0
Feeling like I wanna rock with your body,1
Always riding with a gas torch (gas),0
It's been a long time since I have felt this way,0
"And I swear to God, I don't get tired",0
"To you, she lie through her teeth cavities, fillin's",0
You keep me young and that's how I wanna be,1
"Oh, let you be right, let you be right",1
You don't know the half of the s*** that I've seen (I've seen),1
"This b**** is hyper, need some Adderall (Oh, no)",0
Why don't you come on over?,1
Eldorado Bronco up in Colorado,0
I had to ice out my Rollie (Woah),0
"So put your best face on, everybody",1
"Mahogany skin, touch me, I cut your hands off",0
"Sometimes, you gotta lose somebody, yeah",1
"Uh, yeah, Kid Ink",1
But you're a f***in' mole hill,0
I know that they showin' up (know that they showin' up),0
"Colorful hair, don't care",0
'Cause it feels so right,1
"My night runs into mornin', all the time (All the time)",0
"Some music with a message, like we usually do",1
"What you claim? You a lame, you ain't never put in pain (Put in pain)",0
"Know this money bring envy, you probably wan' be me, but bro, we can't beef 'bout no small s***",0
Times been gettin' harder,0
That's my girl (Oh) (That's my girl),1
"The contact, impact, I want that daily",1
Said that she there 'cause she know promoters in the club (Yeah),0
"Lay it all, lay it all",1
What do they got in common with Uzi? (Yeah),0
"Oh yeah, yeah, yeah",1
"And move that deep, tryna run down, s***'s steep",0
"Ooh, no we ain't perfect, but we d*** close",0
Baby girl don't want no drama,1
"I'm living for my n****s that do life, yeah",0
Take a spoon and fork and peel his motherf***in' eyes out,0
Where you wanna go? What interests ya? (Eh),1
"Bro got the 9, I got the 4 tucked (4 tucked)",0
Probably in somethin' fast with a Glock in the hood,0
I know all the things you like,1
I just wanna make a couple mil',0
"I want you to come flex with me, baby",1
In my room is where the party began,0
One more time 'fore I go,1
"1 by 1, let me see you",1
But they don't have a shot when I compare them to you,1
"If it's a dream, don't wake me, don't wake me",1
"My name gon' hold up, my team gon' hold up",0
"Mmm, ah, mmm, ah, mmm, if you let me touch you",1
"I got nothin' to hide, I don't run from my problems",0
"Oh, I, I want it all",1
They hate it when you notice me,1
"Trappin' the cocaine (Yeah), no gang, shooter with no name",0
"You look good, girl, bet it feel good, don't it?",1
"In my dreams, I do anything I want to you",1
"Woah, woah, woah",0
"So go 'head and make it, your",1
You can get it sexy if you want to,1
"I had to lay low, Hot Topic like your everyday clothes",0
Livin' a dream like I'm David Aames,0
From the day that I met you,1
But I feel you watchin' me,1
I been in the valley,0
"'Cause space was just a word made up by someone who's afraid to get close, ooh",1
J'arrive dans le Benz avec tout en or,1
"We gon' blow like, yeah (Straight up, uh)",0
"Chase me, chase me, tell me how you hate me",1
And we wind up in the same place,1
"And only have eyes, and only have eyes for you",0
"I don't really want no friends, no",0
"I want a green light, I wanna be like",0
